"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","ENTREZID"
"11725326_a_at","11725326_a_at",-0.613158101881995,2.79111317698628,-5.98004488834338,3.35712969000217e-09,4.86063820188926e-05,10.5172723750423,"CAMK2D","817"
"11718432_a_at","11718432_a_at",-0.561060205848342,2.41339180275935,-5.95255926185125,3.94436273787979e-09,4.86063820188926e-05,10.3684686350469,"SASH1","23328"
"11733216_s_at","11733216_s_at",-0.386276064724617,2.26771752754988,-5.64183091324847,2.33314801892692e-08,0.000191675886914909,8.72985245957424,"USP53","54532"
"11727988_a_at","11727988_a_at",-0.473804551499842,2.67902741599377,-5.51406697778219,4.73051334604851e-08,0.000291470579816779,8.07951466030462,"SCML1","6322"
"11758555_s_at","11758555_s_at",-1.28785535921351,4.83117194338529,-5.34696392810539,1.16718582649863e-07,0.000484394691967762,7.24971734081686,"GPR183","1880"
"11727428_at","11727428_at",-0.8684146652229,2.80773561156858,-5.34503590083657,1.17924537523597e-07,0.000484394691967762,7.24028121698904,"GPR183","1880"
"11748098_a_at","11748098_a_at",-0.725221054693358,4.01695780177556,-5.30776582068459,1.43755359435688e-07,0.000499613867478576,7.05849510700803,"ZNF331","55422"
"11743355_x_at","11743355_x_at",-0.799202510349051,4.61273396175312,-5.28497022598066,1.62172804504934e-07,0.000499613867478576,6.94789094614966,"PDCD4","27250"
"11721815_a_at","11721815_a_at",-1.30395902533471,5.17163377849751,-5.17853117427613,2.83029455902635e-07,0.000651098657100248,6.43731074099049,"FAIM3","9214"
"11730637_a_at","11730637_a_at",-0.437213164303721,2.65195280784663,-5.17602791288795,2.8672658599741e-07,0.000651098657100248,6.42541920403326,"CTLA4","1493"
"11719535_a_at","11719535_a_at",-0.459222632174904,3.18574070243017,-5.17343971247544,2.90598280779953e-07,0.000651098657100248,6.41312980538591,"AP3M2","10947"
"11763472_x_at","11763472_x_at",-0.8883144942565,3.85508025124688,-5.13829211046532,3.48454173473289e-07,0.000685984329850594,6.24680790764394,"ZC3H12D","340152"
"11741114_x_at","11741114_x_at",-0.673919877884454,3.95256377738404,-5.11422056954649,3.94347376501642e-07,0.000685984329850594,6.13350932594822,"PDCD4","27250"
"11748292_a_at","11748292_a_at",0.701584850751026,4.16147038375686,5.11406678095239,3.94658572300985e-07,0.000685984329850594,6.13278707873199,"GBA /// GBAP1","2629 /// 2630"
"11757784_s_at","11757784_s_at",-0.931216934148583,7.25176399287032,-5.1030862058939,4.17502432352467e-07,0.000685984329850594,6.08127071256372,"RPL22","6146"
"11743853_a_at","11743853_a_at",-0.588002403714463,3.13478183466584,-5.06200278910094,5.14854407222969e-07,0.000778518821618402,5.88944169776471,"FBXO21","23014"
"11720867_x_at","11720867_x_at",1.16003786647604,9.30547498074938,5.04021381485488,5.75042733755038e-07,0.000778518821618402,5.78829162956744,"PLAC8","51316"
"11754924_s_at","11754924_s_at",-0.508239698542775,2.66806540932045,-5.03228812835016,5.98578201740946e-07,0.000778518821618402,5.75159975949299,"C6orf105","84830"
"11763889_x_at","11763889_x_at",-0.499358942274208,3.36773152278554,-5.03176209807664,6.00172750578172e-07,0.000778518821618402,5.74916642027636,"SNHG8 /// SNORA24","100093630 /// 677809"
"11720526_s_at","11720526_s_at",-0.871834320317086,4.28136700116708,-4.98536841836203,7.58160481814849e-07,0.000827889578468444,5.53549265796594,"PEBP1","5037"
"11719964_a_at","11719964_a_at",-0.547472371317157,3.33630920139027,-4.96719402525799,8.30411846809059e-07,0.000827889578468444,5.45229284248962,"UBE2E2","7325"
"11724038_a_at","11724038_a_at",-0.831118051071287,4.35570090584165,-4.96507940646045,8.39237753175139e-07,0.000827889578468444,5.44263090731555,"PTGS2","5743"
"11739401_a_at","11739401_a_at",-1.11121914033723,5.61932822941646,-4.96448727493542,8.41725342816603e-07,0.000827889578468444,5.43992608164956,"CD74","972"
"11725327_a_at","11725327_a_at",-0.777508134494724,3.79902226666209,-4.94619481408689,9.22175418862004e-07,0.000827889578468444,5.35651605724378,"CAMK2D","817"
"11750889_x_at","11750889_x_at",-0.790639772427215,7.02974254899002,-4.94599467027342,9.23095394697666e-07,0.000827889578468444,5.3556050373529,"GLTSCR2","29997"
"11727561_x_at","11727561_x_at",-1.32363175146096,5.21005463837905,-4.93832838935511,9.59008119181165e-07,0.000827889578468444,5.32073548009288,"TCF7","6932"
"11736333_at","11736333_at",-0.479407187227008,4.84657996554613,-4.93715360286114,9.64629134557896e-07,0.000827889578468444,5.31539652594134,"PHF20","51230"
"11757868_a_at","11757868_a_at",-0.971128310822051,6.10961994154863,-4.93653347769079,9.67609055282065e-07,0.000827889578468444,5.31257877523551,"PIK3IP1","113791"
